Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,2.523,0.370,0.000,0.126,0.000,0.122,0.010
Albania,5.117,1.008,0.529,0.646,0.491,0.168,0.024
Algeria,4.887,0.946,0.765,0.552,0.119,0.144,0.120
Argentina,5.929,1.162,0.980,0.646,0.544,0.069,0.067
Armenia,5.283,0.996,0.758,0.585,0.540,0.079,0.198
Australia,7.183,1.453,1.076,0.801,0.647,0.291,0.317
Austria,7.268,1.492,1.062,0.782,0.640,0.215,0.292
Azerbaijan,5.171,1.025,0.841,0.541,0.526,0.043,0.276
Bahrain,6.647,1.409,0.899,0.662,0.661,0.246,0.139
Bangladesh,5.025,0.635,0.520,0.514,0.603,0.161,0.164
Belarus,5.534,1.124,1.007,0.560,0.326,0.070,0.199
Belgium,6.834,1.463,0.998,0.747,0.489,0.088,0.187
Benin,5.045,0.507,0.058,0.196,0.457,0.166,0.178
Bolivia,5.716,0.842,0.782,0.486,0.600,0.138,0.064
Bosnia and Herzegovina,5.813,1.032,0.919,0.618,0.395,0.261,0.005
Botswana,3.467,1.099,0.724,0.340,0.539,0.027,0.088
Brazil,6.330,1.028,0.944,0.571,0.514,0.142,0.117
Bulgaria,5.266,1.181,1.055,0.583,0.494,0.125,0.005
Burkina Faso,4.834,0.364,0.472,0.179,0.381,0.182,0.122
Burundi,3.775,0.000,0.062,0.155,0.298,0.172,0.212
Cambodia,4.830,0.603,0.680,0.426,0.702,0.210,0.061
Cameroon,5.142,0.543,0.556,0.159,0.425,0.205,0.058
Canada,7.103,1.447,1.044,0.798,0.648,0.246,0.335
Chad,4.355,0.255,0.353,0.000,0.240,0.215,0.084
Chile,6.172,1.200,0.946,0.678,0.438,0.159,0.070
China,5.339,1.061,0.785,0.665,0.636,0.093,0.117
Colombia,6.012,1.021,0.866,0.615,0.554,0.100,0.063
Comoros,4.289,0.488,0.367,0.279,0.202,0.241,0.101
Congo (Brazzaville),5.342,0.518,0.392,0.307,0.381,0.144,0.124
Costa Rica,7.069,1.134,0.966,0.722,0.673,0.105,0.083
Croatia,5.882,1.251,1.039,0.703,0.453,0.111,0.000
Cyprus,6.223,1.377,0.765,0.801,0.464,0.178,0.061
Czech Republic,6.965,1.370,1.090,0.703,0.580,0.052,0.046
Denmark,7.620,1.502,1.108,0.763,0.686,0.208,0.485
Dominican Republic,5.545,1.106,0.879,0.555,0.581,0.101,0.144
Ecuador,5.764,0.935,0.806,0.640,0.560,0.107,0.062
Egypt,4.283,0.954,0.647,0.426,0.446,0.069,0.092
El Salvador,6.061,0.845,0.675,0.565,0.615,0.116,0.160
Estonia,6.189,1.344,1.079,0.640,0.641,0.119,0.263
Ethiopia,4.275,0.370,0.679,0.331,0.451,0.241,0.114
Finland,7.842,1.446,1.106,0.741,0.691,0.124,0.481
France,6.690,1.421,1.081,0.804,0.536,0.092,0.235
Gabon,4.852,1.037,0.707,0.362,0.424,0.058,0.064
Gambia,5.051,0.367,0.511,0.210,0.384,0.465,0.123
Georgia,4.891,1.030,0.470,0.498,0.488,0.032,0.181
Germany,7.155,1.480,0.993,0.757,0.600,0.195,0.306
Ghana,5.088,0.680,0.595,0.287,0.517,0.268,0.058
Greece,5.723,1.273,0.811,0.760,0.243,0.000,0.074
Guatemala,6.435,0.845,0.790,0.519,0.638,0.163,0.105
Guinea,4.984,0.420,0.399,0.206,0.384,0.250,0.111
Haiti,3.615,0.294,0.173,0.227,0.257,0.463,0.139
Honduras,5.919,0.703,0.787,0.593,0.578,0.241,0.083
Hong Kong S.A.R. of China,5.477,1.525,0.841,0.893,0.408,0.232,0.342
Hungary,5.992,1.301,1.083,0.615,0.454,0.067,0.040
Iceland,7.554,1.482,1.172,0.772,0.698,0.293,0.170
India,3.819,0.741,0.316,0.383,0.622,0.246,0.106
Indonesia,5.345,0.954,0.786,0.433,0.598,0.541,0.046
Iran,4.721,1.030,0.557,0.561,0.275,0.330,0.144
Iraq,4.854,0.910,0.638,0.381,0.302,0.153,0.041
Ireland,7.085,1.644,1.092,0.753,0.606,0.238,0.367
Israel,7.157,1.376,1.074,0.788,0.509,0.208,0.119
Italy,6.483,1.393,0.940,0.798,0.379,0.133,0.047
Ivory Coast,5.306,0.669,0.409,0.052,0.438,0.177,0.092
Jamaica,6.309,0.891,0.932,0.599,0.618,0.099,0.035
Japan,5.940,1.389,0.949,0.838,0.504,0.020,0.192
Jordan,4.395,0.890,0.685,0.583,0.455,0.079,0.150
Kazakhstan,6.152,1.230,1.103,0.527,0.573,0.143,0.132
Kenya,4.607,0.603,0.508,0.385,0.483,0.375,0.073
Kosovo,6.372,0.937,0.807,0.483,0.593,0.356,0.014
Kuwait,6.106,1.461,0.857,0.580,0.591,0.120,0.130
Kyrgyzstan,5.744,0.665,0.971,0.501,0.673,0.266,0.020
Laos,5.030,0.808,0.598,0.330,0.643,0.268,0.179
Latvia,6.032,1.285,1.047,0.587,0.405,0.082,0.089
Lebanon,4.584,1.045,0.868,0.595,0.175,0.140,0.026
Lesotho,3.512,0.451,0.731,0.007,0.405,0.103,0.015
Liberia,4.625,0.228,0.580,0.253,0.430,0.221,0.057
Libya,5.410,1.044,0.821,0.435,0.474,0.131,0.174
Lithuania,6.255,1.350,1.065,0.612,0.476,0.056,0.073
Luxembourg,7.324,1.751,1.003,0.760,0.639,0.166,0.353
Madagascar,4.208,0.266,0.503,0.341,0.207,0.185,0.087
Malawi,3.600,0.113,0.168,0.298,0.484,0.213,0.134
Malaysia,5.384,1.259,0.797,0.587,0.624,0.270,0.064
Maldives,5.198,1.115,1.015,0.697,0.575,0.204,0.073
Mali,4.723,0.387,0.590,0.110,0.384,0.164,0.072
Malta,6.602,1.411,1.055,0.747,0.664,0.275,0.183
Mauritania,4.227,0.666,0.749,0.273,0.218,0.119,0.133
Mauritius,6.049,1.178,0.996,0.574,0.590,0.153,0.096
Mexico,6.317,1.126,0.830,0.634,0.585,0.092,0.089
Moldova,5.766,0.985,0.888,0.542,0.536,0.137,0.013
Mongolia,5.677,0.966,1.065,0.442,0.397,0.263,0.053
Montenegro,5.581,1.155,0.891,0.637,0.397,0.166,0.081
Morocco,4.918,0.792,0.219,0.558,0.477,0.034,0.088
Mozambique,4.794,0.183,0.634,0.196,0.608,0.228,0.163
Myanmar,4.426,0.666,0.713,0.341,0.601,0.520,0.178
Namibia,4.574,0.882,0.801,0.262,0.411,0.091,0.059
Nepal,5.269,0.519,0.702,0.496,0.488,0.287,0.135
Netherlands,7.464,1.501,1.079,0.753,0.647,0.302,0.384
New Zealand,7.277,1.400,1.094,0.785,0.665,0.276,0.445
Nicaragua,5.972,0.693,0.904,0.604,0.553,0.201,0.176
Niger,5.074,0.162,0.402,0.167,0.516,0.200,0.157
Nigeria,4.759,0.663,0.625,0.051,0.433,0.212,0.039
North Cyprus,5.536,1.377,0.806,0.801,0.503,0.196,0.200
North Macedonia,5.101,1.068,0.772,0.535,0.450,0.212,0.022
Norway,7.392,1.543,1.108,0.782,0.703,0.249,0.427
Pakistan,4.934,0.637,0.423,0.322,0.418,0.252,0.097
Palestinian Territories,4.517,0.646,0.819,0.434,0.330,0.082,0.075
Panama,6.180,1.298,0.976,0.667,0.596,0.079,0.053
Paraguay,5.653,0.983,0.970,0.549,0.602,0.206,0.037
Peru,5.840,0.986,0.833,0.623,0.536,0.087,0.031
Philippines,5.880,0.853,0.828,0.426,0.651,0.125,0.126
Poland,6.166,1.309,0.982,0.668,0.558,0.080,0.130
Portugal,5.929,1.323,0.939,0.760,0.621,0.029,0.033
Romania,6.140,1.275,0.832,0.595,0.564,0.045,0.001
Russia,5.477,1.241,0.992,0.511,0.409,0.115,0.060
Rwanda,3.415,0.364,0.202,0.407,0.627,0.227,0.493
Saudi Arabia,6.494,1.435,0.964,0.571,0.603,0.090,0.163
Senegal,5.132,0.518,0.558,0.357,0.381,0.158,0.088
Serbia,6.078,1.101,0.924,0.634,0.482,0.189,0.066
Sierra Leone,3.849,0.279,0.377,0.100,0.408,0.243,0.047
Singapore,6.377,1.695,1.019,0.897,0.664,0.176,0.547
Slovakia,6.331,1.304,1.066,0.653,0.468,0.107,0.018
Slovenia,6.461,1.360,1.093,0.722,0.690,0.122,0.085
South Africa,4.956,0.967,0.895,0.265,0.447,0.144,0.051
South Korea,5.845,1.403,0.758,0.801,0.353,0.134,0.135
Spain,6.491,1.375,1.057,0.826,0.462,0.135,0.124
Sri Lanka,4.325,0.990,0.820,0.593,0.559,0.239,0.049
Swaziland,4.308,0.849,0.693,0.074,0.323,0.067,0.147
Sweden,7.363,1.478,1.062,0.763,0.685,0.244,0.448
Switzerland,7.571,1.566,1.079,0.816,0.653,0.204,0.413
Taiwan Province of China,6.584,1.480,0.982,0.665,0.490,0.142,0.139
Tajikistan,5.466,0.508,0.895,0.498,0.548,0.152,0.247
Tanzania,3.623,0.433,0.540,0.300,0.549,0.307,0.231
Thailand,5.985,1.107,0.957,0.596,0.611,0.375,0.028
Togo,4.107,0.254,0.239,0.203,0.289,0.209,0.107
Tunisia,4.596,0.919,0.515,0.590,0.334,0.057,0.044
Turkey,4.948,1.260,0.809,0.590,0.236,0.097,0.104
Turkmenistan,5.066,1.046,1.172,0.439,0.602,0.366,0.033
Uganda,4.636,0.364,0.718,0.240,0.398,0.267,0.054
Ukraine,4.875,0.979,0.958,0.517,0.417,0.181,0.010
United Arab Emirates,6.561,1.555,0.860,0.594,0.670,0.236,0.223
United Kingdom,7.064,1.423,1.062,0.757,0.580,0.340,0.306
United States,6.951,1.533,1.030,0.621,0.554,0.252,0.154
Uruguay,6.431,1.164,1.042,0.649,0.625,0.128,0.223
Uzbekistan,6.179,0.769,1.027,0.528,0.716,0.391,0.271
Venezuela,4.892,0.852,0.897,0.574,0.284,0.078,0.072
Vietnam,5.411,0.817,0.873,0.616,0.679,0.124,0.091
Yemen,3.658,0.329,0.831,0.272,0.268,0.092,0.089
Zambia,4.073,0.528,0.552,0.231,0.487,0.227,0.074
Zimbabwe,3.145,0.457,0.649,0.243,0.359,0.157,0.075
